iter	RMSE
0	0.4334463788
1	0.4224150947
2	0.4137370186
3	0.4045887638
4	0.3944828763
5	0.3802013936
6	0.3712448414
7	0.3579142312
8	0.3505933193
9	0.3442737848
10	0.3322025038
11	0.3255880683
12	0.3175228029
13	0.309964968
14	0.3028119155
15	0.2951039288
16	0.2892549557
17	0.2787293037
18	0.2704891948
19	0.2637280224
20	0.2560781628
21	0.2495752993
22	0.2431783882
23	0.2344223207
24	0.2263385372
25	0.219084425
26	0.2135011576
27	0.2084541373
28	0.2048331187
29	0.1997116576
30	0.1962812422
31	0.1912828219
32	0.1880779366
33	0.1816317067
34	0.1772452754
35	0.1727471878
36	0.1682899332
37	0.1640058666
38	0.1597471337
39	0.155761405
40	0.1517994844
41	0.1480678568
42	0.1443127222
43	0.1406255553
44	0.1371542321
45	0.1337891919
46	0.1304743912
47	0.1259367394
48	0.1227753521
49	0.1196485666
50	0.1166330714
51	0.113777243
52	0.1108712152
53	0.1080374433
54	0.1053801649
55	0.1027768722
56	0.1001666696
57	0.09769414724
58	0.09522144723
59	0.09280518943
60	0.09043395477
61	0.08816267454
62	0.0860337271
63	0.08385481216
64	0.08173152664
65	0.0796901963
66	0.07768667971
67	0.07575220852
68	0.07383828685
69	0.07200388282
70	0.0701830608
71	0.06844192817
72	0.06674636441
73	0.06507232
74	0.06346277593
75	0.06187225816
76	0.06036675351
77	0.05884615383
78	0.05737737836
79	0.05594654181
80	0.05454497082
81	0.05317364275
82	0.05184444279
83	0.05054912321
84	0.04929185774
85	0.048065623
86	0.04690267745
87	0.04573819783
88	0.0446027372
89	0.04349748759
90	0.04241930593
91	0.04139306808
92	0.0403943197
93	0.03939475158
94	0.03842071639
95	0.03747199486
96	0.03654792296
97	0.03564785729
98	0.03477117415
99	0.03391308711
100	0.03308733289
101	0.03227218691
102	0.03147846022
103	0.03071400779
104	0.02996999362
105	0.02924586686
106	0.02854109628
107	0.02785516912
108	0.0271875902
109	0.02653788096
110	0.02590557867
111	0.02529023563
112	0.02469141848
113	0.02410870751
114	0.02354169607
115	0.02296290704
116	0.02239925209
117	0.02185033238
118	0.02131576186
119	0.02079516664
120	0.02028818451
121	0.01979446444
122	0.01931366608
